total	1633
arith	13
arithEval	5
arrayIndex	26
arrayItems	21
arrayLen	14
assign	12
background	7
basename	2
blockSync	1
break	6
builtin	549
callDirect	16
capture	37
captureSync	79
captureWords	2
captureWordsSync	4
caseMatch	1
continue	3
cutText	2
date	4
dirname	5
exec	147
fileTest	48
fnCall	33
forLoop	1
forLoopSync	3
getVar	19
grepMatches	5
grepText	18
hostname	3
idiv	2
imod	2
listVar	11
mktempValue	13
param	2
pipeline	29
pipelineSync	84
readlink	8
redirect	40
redirectSync	119
return	15
setArray	16
setArrayAppend	7
setVar	121
subshell	5
subshellSync	18
test	29
uname	11
whileLoop	1
whileLoopSync	11
whoami	3
