problem	N	leg	ms	ns_item	speedup_vs_bash	vec_loops
addsum	1000000	bash	3920.294	3920.29	1.0	-
addsum	1000000	bo4-tcc	8.728	8.73	449.1	-
addsum	1000000	bo4-gcc	5.603	5.60	699.7	0
addsum	1000000	gcc-O3	3.519	3.52	1114.0	0
addsum32	46340	bash	185.726	4007.89	1.0	-
addsum32	46340	bo4-tcc	4.938	106.57	37.6	-
addsum32	46340	bo4-gcc	4.349	93.86	42.7	0
addsum32	46340	gcc-O3	2.832	61.12	65.6	1
squares	1000000	bash	4149.069	4149.07	1.0	-
squares	1000000	bo4-tcc	7.882	7.88	526.4	-
squares	1000000	bo4-gcc	5.261	5.26	788.7	0
squares	1000000	gcc-O3	3.238	3.24	1281.4	0
hash	1000000	bash	9749.920	9749.92	1.0	-
hash	1000000	bo4-tcc	39.627	39.63	246.0	-
hash	1000000	bo4-gcc	6.775	6.78	1439.1	0
hash	1000000	gcc-O3	4.947	4.95	1970.8	0
collatz	500	bash	129.714	259427.16	1.0	-
collatz	500	bo4-tcc	5.070	10139.67	25.6	-
collatz	500	bo4-gcc	4.629	9257.25	28.0	0
collatz	500	gcc-O3	2.971	5941.65	43.7	0
sqrt1337	10000	bash	15342.495	1534249.54	1.0	-
sqrt1337	10000	bo4-tcc	9.493	949.27	1616.2	-
sqrt1337	10000	bo4-gcc	9.582	958.20	1601.2	0
sqrt1337	10000	gcc-O3	3.113	311.30	4928.6	0
