problem	N	leg	ms	ns_item	speedup_vs_bash	vec_loops
addsum	1000000	bash	4143.228	4143.23	1.0	-
addsum	1000000	bo4-tcc	8.395	8.40	493.5	-
addsum	1000000	bo4-gcc	5.550	5.55	746.6	0
addsum	1000000	gcc-O3	3.883	3.88	1067.0	0
addsum32	46340	bash	216.328	4668.27	1.0	-
addsum32	46340	bo4-tcc	5.590	120.62	38.7	-
addsum32	46340	bo4-gcc	5.328	114.97	40.6	0
addsum32	46340	gcc-O3	3.610	77.91	59.9	1
squares	1000000	bash	4552.192	4552.19	1.0	-
squares	1000000	bo4-tcc	10.855	10.85	419.4	-
squares	1000000	bo4-gcc	7.045	7.05	646.1	0
squares	1000000	gcc-O3	3.919	3.92	1161.6	0
hash	1000000	bash	12751.770	12751.77	1.0	-
hash	1000000	bo4-tcc	37.791	37.79	337.4	-
hash	1000000	bo4-gcc	8.999	9.00	1417.1	0
hash	1000000	gcc-O3	6.741	6.74	1891.7	0
twoarr	200000	bash	3107.577	15537.88	1.0	-
twoarr	200000	bo4-tcc	6.797	33.98	457.2	-
twoarr	200000	bo4-gcc	6.978	34.89	445.4	0
twoarr	200000	gcc-O3	7.807	39.03	398.1	0
collatz	500	bash	148.589	297177.64	1.0	-
collatz	500	bo4-tcc	7.552	15104.60	19.7	-
collatz	500	bo4-gcc	6.256	12512.40	23.8	0
collatz	500	gcc-O3	3.582	7163.40	41.5	0
sqrt1337	10000	bash	18401.417	1840141.70	1.0	-
sqrt1337	10000	bo4-tcc	14.084	1408.45	1306.5	-
sqrt1337	10000	bo4-gcc	12.401	1240.07	1483.9	0
sqrt1337	10000	gcc-O3	4.058	405.78	4534.8	0
