30-orangepi-sysinfo	check_qx —   FAIL: sh2perl-BxFc0NSK.pl.sh [perl] — QX violation: qx{} call with builtin 'awk'
VampireDriversFunctions	sh2perl generation, exit=1
alsa-info	sh2perl generation, exit=1
alsabat-test	check_qx —   FAIL: sh2perl-5qzrXkDH.pl.sh [perl] — OPEN3 violation: open3
apt-key	sh2perl generation, exit=1
apt.systemd.daily	sh2perl generation, exit=1
aptitude.postinst	sh2perl generation, exit=1
autossh	check_qx —   FAIL: sh2perl-NVqQd5ej.pl.sh [perl] — OPEN3 violation: open3
avahi-autoipd.postrm	sh2perl generation, exit=1
bashbug	sh2perl generation, exit=1
blkdeactivate	sh2perl generation, exit=1
burn_to_emmc	sh2perl generation, exit=1
bzdiff	check_qx —   FAIL: sh2perl-gLmybiCb.pl.sh [perl] — SYSTEM violation: system
bzexe	sh2perl generation, exit=1
c2z	sh2perl generation, exit=1
changesetfs	sh2perl generation, exit=1
common.postinst	sh2perl generation, exit=1
compile	sh2perl generation, exit=1
config.guess	sh2perl generation, exit=1
config.sub	sh2perl generation, exit=1
console-conf-write-login-details	sh2perl generation, exit=1
create_ap	sh2perl generation, exit=1
cups	sh2perl generation, exit=1
depcomp	sh2perl generation, exit=1
dhclient-script	sh2perl generation, exit=1
dkms	sh2perl generation, exit=1
dkms-autopkgtest	check_qx —   FAIL: sh2perl-0nVggl6b.pl.sh [perl] — OPEN3 violation: open3
dkms_autoinstaller	sh2perl generation, exit=1
docker	sh2perl generation, exit=1
docker-compose	sh2perl generation, exit=1
dpkg-realpath	sh2perl generation, exit=1
ds-identify	sh2perl generation, exit=1
e2scrub_all	sh2perl generation, exit=1
exe_with_z64	sh2perl generation, exit=1
exe_with_zip	sh2perl generation, exit=1
expect_autopasswd	sh2perl generation, exit=1
expect_timed-run	sh2perl generation, exit=1
fail	check_qx —   FAIL: sh2perl-aA0oX7iN.pl.sh [perl] — OPEN3 violation: open3
figlist	sh2perl generation, exit=1
form1	sh2perl generation, exit=1
form2	sh2perl generation, exit=1
fsck	sh2perl generation, exit=1
gauge2	sh2perl generation, exit=1
get-arg	sh2perl generation, exit=1
get_next_oid	sh2perl generation, exit=1
gettextize	sh2perl generation, exit=1
git-filter-branch	perlcritic — Bareword file handle opened at line 500, column 9.  See pages 202,204 of PBP.
git-jump	sh2perl generation, exit=1
git-quiltimport	sh2perl generation, exit=1
git-submodule	sh2perl generation, exit=1
growpart	sh2perl generation, exit=1
gzexe	sh2perl generation, exit=1
hdparm	check_qx —   FAIL: sh2perl-7egBG6zn.pl.sh [perl] — QX violation: qx{} call with builtin 'perl'
init	sh2perl generation, exit=1
inputmenu-stdout	sh2perl generation, exit=1
inputmenu1	sh2perl generation, exit=1
inputmenu2	sh2perl generation, exit=1
inputmenu3	sh2perl generation, exit=1
inputmenu4	sh2perl generation, exit=1
install-sh	sh2perl generation, exit=1
invoke-rc.d	check_qx —   FAIL: sh2perl-7fp04ayT.pl.sh [perl] — OPEN3 violation: open3
ip-down	check_qx —   FAIL: sh2perl-m31iJPWh.pl.sh [perl] — OPEN3 violation: open3
ip-pre-up	check_qx —   FAIL: sh2perl-R67Nrq5f.pl.sh [perl] — OPEN3 violation: open3
ip-up	check_qx —   FAIL: sh2perl-0oTgzKI6.pl.sh [perl] — OPEN3 violation: open3
kernel-install	sh2perl generation, exit=1
kube-ps1.plugin.zsh	sh2perl generation, exit=1
lirc-config-tool	sh2perl generation, exit=1
locale-gen	check_qx —   FAIL: sh2perl-6grmLZkb.pl.sh [perl] — QX violation: qx{} call with builtin 'perl'
makesetup	sh2perl generation, exit=1
mdate-sh	sh2perl generation, exit=1
mixedform	sh2perl generation, exit=1
mixedform2	sh2perl generation, exit=1
mysql	sh2perl generation, exit=1
mysql-server-8.0.postrm	sh2perl generation, exit=1
